Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Austria,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0812142253824,0.0883191565778,0.073832258158
Austria,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0832126039655,0.0898654872038,0.0764247166062
Austria,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0858786619353,0.0927946664276,0.0793829443321
Austria,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0885853016053,0.0958271718533,0.0819309221663
Austria,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0910174525836,0.0988232515904,0.084137438315
Austria,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0927122395284,0.101477111636,0.08520990702
Austria,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0936840616537,0.102147330116,0.0864462270974
Austria,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0945892197558,0.103341096396,0.0874896676116
Austria,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.095211573173,0.103985687067,0.0879286920733
Austria,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0955527019424,0.104447327396,0.0880441271908
Austria,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0955301640318,0.104484415546,0.0877678711475
Austria,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0949854026088,0.104107152776,0.0869135296776
Austria,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.094167888709,0.103995722858,0.0857518185375
Belgium,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.076038357457,0.0832758445182,0.0697634586746
Belgium,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0770306109784,0.0840774368216,0.0710722612765
Belgium,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0780465429921,0.0846400579553,0.0720809581161
Belgium,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0790893927567,0.0858547968391,0.0729871778153
Belgium,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.080206505606,0.08722246095,0.0737341389488
Belgium,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0813985127128,0.0889420379751,0.0745058403943
Belgium,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0827049855158,0.0897339633812,0.0758503325415
Belgium,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0841864794316,0.0908596533927,0.0775020171117
Belgium,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0857132959083,0.0926673846064,0.078963704188
Belgium,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0871647369089,0.0946825952846,0.0803479959569
Belgium,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0883730985004,0.096141301712,0.0812617358159
Belgium,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0894593355028,0.0972614525688,0.0823080554818
Belgium,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0906527304895,0.0983561378428,0.0836067928968
Belgium,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0918688148965,0.0997060214278,0.084707017425
Belgium,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0930792714407,0.101130321971,0.0854478849335
Belgium,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0941864494881,0.102851858939,0.0863941819644
Belgium,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0952979947539,0.103725462456,0.087837666625
Belgium,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0965691754623,0.104792145315,0.0893543169869
Belgium,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0978658847676,0.106031280543,0.0907711924177
Belgium,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0991162490235,0.10747209143,0.0914842536291
Belgium,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.10022699719,0.108811394756,0.0919275020047
Belgium,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.101190380167,0.109662607088,0.0933695531241
Belgium,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.102120023031,0.110660926477,0.0944301724802
Belgium,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.103031861455,0.111592429063,0.0953032943567
Belgium,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.103957156185,0.112630331065,0.0960910346571
Belgium,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.104842632685,0.114131093787,0.0965472216175
Belgium,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.105612759332,0.115940969752,0.0967077320848
Belgium,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.106330125006,0.117448767016,0.0967217217392
Canada,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0669921591179,0.0725794378308,0.0612705099401
Canada,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0672093400867,0.0723649069812,0.0619434292006
Canada,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0675129408132,0.0722697226525,0.0626123838246
Canada,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0679086802243,0.0724836469545,0.0632134330001
Canada,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0683928456411,0.0728905072714,0.0637690455198
Canada,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0690189239409,0.0739097319643,0.0643871141959
Canada,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0698547838503,0.0744702215259,0.0653406223899
Canada,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0709077001118,0.0756705460353,0.0663264199438
Canada,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.07206271908,0.0770532664305,0.0672932710809
Canada,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0731771625761,0.0785003305908,0.0679778883354
Canada,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0741547767476,0.0798457120124,0.0686170295859
Canada,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0745321475404,0.0800363819799,0.0689177884542
Canada,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0742088782918,0.0795853134113,0.0686757649613
Canada,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0735699246172,0.0793555136331,0.068127567622
Canada,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0730532381892,0.0791183966987,0.0673862661284
Canada,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0731630236262,0.0795418978907,0.0671843231596
Canada,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0738083346747,0.0797825769475,0.067920135509
Canada,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.07456040105,0.0799838545943,0.0690571635711
Canada,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0753458126386,0.0810486837379,0.0698287892871
Canada,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0761406824645,0.082095629719,0.0704244193874
Canada,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0769448636485,0.0834831980703,0.0707269094633
Canada,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0777370209386,0.083938192165,0.0719333202288
Canada,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0785521668214,0.0849118081988,0.0728127822035
Canada,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0793553410662,0.0859103304214,0.0735619015403
Canada,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0801259045296,0.0870079288037,0.0740636084685
Canada,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0808617632139,0.0882848488265,0.074349866029
Canada,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0815455720992,0.0897135650958,0.074487128889
Canada,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0821989746608,0.0912315039292,0.0745615114346
Chile,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0482132712983,0.0525303497588,0.0443981881969
Chile,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0484906954566,0.0526709581037,0.0448510324686
Chile,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0489820289557,0.0530553950547,0.045387755186
Chile,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0496424763953,0.0538670776349,0.0459808892347
Chile,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0504362265589,0.0548273814355,0.0466050193928
Chile,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0513542236612,0.0559595301024,0.0474164405847
Chile,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0526450870738,0.0571177347831,0.0485977125321
Chile,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0543805204402,0.0589428932695,0.0502629267991
Chile,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0563280156913,0.0609700760201,0.0520951679202
Chile,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0582337855673,0.0631248020328,0.0536976290584
Chile,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0598562561528,0.0651124533819,0.0548683234553
Chile,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0612089533589,0.0662590043793,0.0565920876005
Chile,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.062475817734,0.0671940199375,0.0578219167482
Chile,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0637189183616,0.0685584572405,0.0590325923426
Chile,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0649768587816,0.0701334072898,0.060108449538
Chile,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0663350618034,0.0718760633417,0.0608583517696
Chile,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0680009345864,0.0733694388786,0.06281607575
Chile,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0699336478878,0.0752606438515,0.0648342454437
Chile,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0719619458867,0.0774542755723,0.0667998238951
Chile,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0738597634846,0.0796688237656,0.0682992384712
Chile,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0754190644513,0.0818841697088,0.0692956520251
Chile,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0767805840964,0.0830271112082,0.0707938043241
Chile,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0781224260216,0.0845433875031,0.0721323922471
Chile,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.079437925526,0.0858219320203,0.0731937168755
Chile,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.080695165097,0.0875855004895,0.0742022670229
Chile,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.081919508213,0.0892029741668,0.0750441345978
Chile,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0830929066313,0.0912611669889,0.0756259231224
Chile,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0841411498619,0.0932900454927,0.0759820597096
Czech Republic,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0716944104277,0.0783801718727,0.0652729875174
Czech Republic,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0725902915208,0.0789540711448,0.0665055718702
Czech Republic,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.073568719959,0.0796706825471,0.0676452613502
Czech Republic,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0745845427572,0.0809570318996,0.0689219187399
Czech Republic,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.075616059132,0.0822297694732,0.0700177191598
Czech Republic,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0766294320074,0.0837470888847,0.0708785545859
Czech Republic,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.077780438989,0.0843307219706,0.0719475325715
Czech Republic,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.079118125139,0.0855656834851,0.0729370890526
Czech Republic,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0805221453503,0.0869510665153,0.0741262368397
Czech Republic,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0818788878408,0.0886810846345,0.0750021846967
Czech Republic,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0830595608427,0.0901254870485,0.0755703444493
Czech Republic,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0838893592999,0.0908731849108,0.0770732834482
Czech Republic,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0843505235015,0.0915633880299,0.0778342953754
Czech Republic,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0846767320851,0.0921765169686,0.0782872457284
Czech Republic,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0851155971975,0.0927110660151,0.0788699030731
Czech Republic,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0859329849946,0.0936792397157,0.0791908908982
Czech Republic,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0874689352194,0.0949713790076,0.0809331683416
Czech Republic,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.089654291688,0.0970884983441,0.0832199344312
Czech Republic,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0922647882727,0.0999347471398,0.0857589227943
Czech Republic,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0950764747717,0.102885335274,0.0881230611152
Czech Republic,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0979049556588,0.106034006378,0.0905684491962
Czech Republic,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.100901302099,0.108976662,0.0935672138848
Czech Republic,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.104233957158,0.112518357127,0.0968914015979
Czech Republic,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.107885684595,0.116618934929,0.100368468106
Czech Republic,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.111808667646,0.121201953328,0.103755489311
Czech Republic,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.11594481689,0.125924433494,0.107035779212
Czech Republic,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.120344057917,0.131315147713,0.110341415292
Czech Republic,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.125019884156,0.137869088986,0.113808710918
Denmark,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.103005547945,0.112210292349,0.0948375234832
Denmark,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.104852323552,0.114040326979,0.0967499425625
Denmark,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.106718189743,0.115988856388,0.0987375980208
Denmark,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.108540786702,0.118111566712,0.100142934081
Denmark,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.110315333307,0.120338374076,0.101405873065
Denmark,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.11206792668,0.12257677761,0.102699294973
Denmark,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.11393851568,0.123688764985,0.104935196211
Denmark,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.115936936489,0.125395849943,0.106966476674
Denmark,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.118097315662,0.127551224294,0.109118406575
Denmark,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.120375358949,0.130367466374,0.111186843373
Denmark,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.122754713724,0.133491839046,0.113068048979
Denmark,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.125580339132,0.13596776253,0.115937688849
Denmark,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.128771932428,0.139766773224,0.119258193586
Denmark,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.132120262926,0.143779918241,0.122301205303
Denmark,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.135381771374,0.147964556763,0.12496546849
Denmark,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.138264478585,0.151594042806,0.126854821343
Denmark,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.141031180075,0.153773103681,0.130734153957
Denmark,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.143813381616,0.156101935379,0.133994448002
Denmark,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.146441023421,0.158233253521,0.136230459817
Denmark,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.148691431669,0.161183303362,0.137577077072
Denmark,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.150328090513,0.163749490197,0.137922057912
Denmark,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.151736130147,0.164659910212,0.140028749484
Denmark,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.153179363273,0.165532498736,0.141682688245
Denmark,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.154574041028,0.166765585483,0.143157673339
Denmark,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.155833527051,0.168698516954,0.144589759095
Denmark,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.156897109892,0.170719872236,0.145101018273
Denmark,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.157799006834,0.172524509713,0.145042376713
Denmark,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.158433965508,0.17420946476,0.144414452503
Estonia,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0695857185833,0.0764850775922,0.0635452024148
Estonia,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0703512413886,0.0768827928229,0.0645163704605
Estonia,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0715805064333,0.0779629956721,0.0658268630427
Estonia,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0731080128138,0.079458473105,0.0672243979052
Estonia,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0746567802641,0.0813647589503,0.0684861739242
Estonia,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0761948347925,0.0836309290106,0.0694612478252
Estonia,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0781933062142,0.0856207615821,0.0715653361254
Estonia,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0809447175726,0.0884572182984,0.0743678069683
Estonia,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0838952748453,0.091541301636,0.077162122592
Estonia,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0866552904181,0.0949149553447,0.0796649161674
Estonia,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0889036113608,0.0978124815375,0.0813244202804
Estonia,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0907814562557,0.0989600888495,0.0831793312302
Estonia,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0928017644235,0.100974003486,0.0854292522456
Estonia,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0947463466098,0.102755612933,0.0873520436467
Estonia,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0964917491158,0.105156557513,0.0887126761362
Estonia,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0979978105143,0.107345563168,0.0897635817171
Estonia,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0995668338469,0.108339793276,0.0917170592726
Estonia,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.101501632288,0.110126636052,0.0937279709218
Estonia,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.103420843084,0.112323274371,0.0955774874922
Estonia,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.105063002264,0.113709279969,0.096828523537
Estonia,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.106219684966,0.115312696929,0.0976691875685
Estonia,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.107026418845,0.116187715464,0.0985805641628
Estonia,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.107831467227,0.117180828296,0.0992219004506
Estonia,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.108494813599,0.117873610586,0.0997485821291
Estonia,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.108945809672,0.118792018819,0.100045352475
Estonia,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.109164165864,0.119567256824,0.0998488107284
Estonia,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.109115338588,0.120305507876,0.0995921049593
Estonia,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.108915411758,0.120886854726,0.0986984376317
Finland,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0820640231331,0.0887799179431,0.0760195312151
Finland,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0829161966347,0.0895706949176,0.0769581449994
Finland,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0838033153045,0.0906866848158,0.0775688003002
Finland,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0848337363877,0.0920000770229,0.0780676479197
Finland,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0859911447178,0.0939289744316,0.0787892731042
Finland,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.087359023149,0.0959603939969,0.079307581746
Finland,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0895019006482,0.0980744663705,0.0815530161443
Finland,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0924428992828,0.100871809777,0.0846587075897
